Comment,Designator,Footprint,LCSC
GZ2012D601TF,FB1,L_0805_2012Metric,C1017
1K,"R16,R17",R_0402_1005Metric,C11702
100uF,C5,CP_EIA-3528-21_Kemet-B,C16133
TYPE-C-31-M-12,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
330pF,"C1,C2,C3,C4",C_0603_1608Metric,C1664
1N5819WS,D4,D_SOD-323,C191023
22R,"R10,R11,R8,R9",R_0402_1005Metric,C25092
20K,"R1,R2,R3,R4,R5,R6,R7",R_0402_1005Metric,C25765
5K1,"R14,R15",R_0402_1005Metric,C25905
MAX40200AUK,"U3,U4",SOT-23-5,C2649430
USB-U267-BWS,J1,USB_A_CUI_UJ2-ADH-TH_Horizontal_Stacked,C2962392
TS-1187A-B-A-B,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884
6K2,"R12,R13",R_0402_1005Metric,C4260
ESD5Z5V0,D1,D_SOD-523,C502546
Pico,U1,RPi_Pico_SMD,C5159530
CMOZ1L8,"D5,D6",D_SOD-523,C5240494
500mA,"F1,F2",Fuse_1206_3216Metric,C70076
1A5,F3,Fuse_1206_3216Metric,C70084
19-213/Y2C-CQ2R2L/3T(CY),"D2,D3",LED_0603_1608Metric,C72038
MMBT2222A,"Q5,Q6",SOT-23,C8512
SRV05-4,"U5,U6,U7",SOT-23-6-routable,C85364
2N7002,"Q1,Q2,Q3,Q4",SOT-23,C8545
MLT-7525,BZ1,PUIAudio_SMT_0825_S_4_R,C95299
Conn_01x06_Pin,J3,PinHeader_1x06_P2.54mm_Vertical,
